Date,Orders,Defects,Revenue,Profit
5/10/2023,"6,992",105,"$1,398,400","$693,950"
5/11/2023,"9,039",136,"$1,807,800","$897,100"
5/12/2023,"9,673",145,"$1,934,600","$960,050"
5/13/2023,"13,349",200,"$2,669,800","$1,324,900"
5/14/2023,"12,734",191,"$2,546,800","$1,263,850"
5/15/2023,"4,531",68,"$906,200","$449,700"
5/16/2023,"6,261",94,"$1,252,200","$621,400"
5/17/2023,"7,368",111,"$1,473,600","$731,250"
5/18/2023,"9,203",138,"$1,840,600","$913,400"
5/19/2023,"10,071",151,"$2,014,200","$999,550"
5/20/2023,"13,395",201,"$2,679,000","$1,329,450"
5/21/2023,"12,924",194,"$2,584,800","$1,282,700"
5/22/2023,"4,611",69,"$922,200","$457,650"
5/23/2023,"6,335",95,"$1,267,000","$628,750"
5/24/2023,"7,464",112,"$1,492,800","$740,800"
5/25/2023,"9,331",140,"$1,866,200","$926,100"
5/26/2023,"10,072",151,"$2,014,400","$999,650"
5/27/2023,"13,896",208,"$2,779,200","$1,379,200"
5/28/2023,"12,708",191,"$2,541,600","$1,261,250"
5/29/2023,"4,615",69,"$923,000","$458,050"
5/30/2023,"6,390",96,"$1,278,000","$634,200"
5/31/2023,"7,411",111,"$1,482,200","$735,550"
6/1/2023,"7,109",142,"$1,421,800","$703,800"
6/2/2023,"7,824",156,"$1,564,800","$774,600"
6/3/2023,"10,945",219,"$2,189,000","$1,083,550"
6/4/2023,"10,320",206,"$2,064,000","$1,021,700"
6/5/2023,"3,626",73,"$725,200","$358,950"
6/6/2023,"5,077",102,"$1,015,400","$502,600"
6/7/2023,"5,802",116,"$1,160,400","$574,400"
6/8/2023,"7,376",148,"$1,475,200","$730,200"
6/9/2023,"8,001",160,"$1,600,200","$792,100"
6/10/2023,"10,881",218,"$2,176,200","$1,077,200"
6/11/2023,"10,176",204,"$2,035,200","$1,007,400"
6/12/2023,"3,624",72,"$724,800","$358,800"
6/13/2023,"5,283",106,"$1,056,600","$523,000"
6/14/2023,"5,872",117,"$1,174,400","$581,350"
6/15/2023,"7,370",147,"$1,474,000","$729,650"
6/16/2023,"8,104",162,"$1,620,800","$802,300"
6/17/2023,"11,170",223,"$2,234,000","$1,105,850"
6/18/2023,"10,366",207,"$2,073,200","$1,026,250"
6/19/2023,"3,776",76,"$755,200","$373,800"
6/20/2023,"5,247",105,"$1,049,400","$519,450"
6/21/2023,"6,042",121,"$1,208,400","$598,150"
6/22/2023,"7,518",150,"$1,503,600","$744,300"
6/23/2023,"8,442",169,"$1,688,400","$835,750"
6/24/2023,"11,330",227,"$2,266,000","$1,121,650"
6/25/2023,"10,667",213,"$2,133,400","$1,056,050"
6/26/2023,"3,766",75,"$753,200","$372,850"
6/27/2023,"5,372",107,"$1,074,400","$531,850"
6/28/2023,"6,164",123,"$1,232,800","$610,250"
6/29/2023,"7,774",155,"$1,554,800","$769,650"
6/30/2023,"8,379",168,"$1,675,800","$829,500"
7/1/2023,"9,999",150,"$1,999,800","$992,400"
7/2/2023,"9,335",140,"$1,867,000","$926,500"
7/3/2023,"3,325",50,"$665,000","$330,000"
7/4/2023,"4,624",69,"$924,800","$458,950"
7/5/2023,"5,189",78,"$1,037,800","$515,000"
7/6/2023,"6,602",99,"$1,320,400","$655,250"
7/7/2023,"7,335",110,"$1,467,000","$728,000"
7/8/2023,"10,083",151,"$2,016,600","$1,000,750"
7/9/2023,"9,248",139,"$1,849,600","$917,850"
7/10/2023,"3,340",50,"$668,000","$331,500"
7/11/2023,"4,619",69,"$923,800","$458,450"
7/12/2023,"5,340",80,"$1,068,000","$530,000"
7/13/2023,"6,814",102,"$1,362,800","$676,300"
7/14/2023,"7,490",112,"$1,498,000","$743,400"
7/15/2023,"10,218",153,"$2,043,600","$1,014,150"
7/16/2023,"9,463",142,"$1,892,600","$939,200"
7/17/2023,"3,440",52,"$688,000","$341,400"
7/18/2023,"4,663",70,"$932,600","$462,800"
7/19/2023,"5,401",81,"$1,080,200","$536,050"
7/20/2023,"6,912",104,"$1,382,400","$686,000"
7/21/2023,"7,478",112,"$1,495,600","$742,200"
7/22/2023,"10,402",156,"$2,080,400","$1,032,400"
7/23/2023,"9,497",142,"$1,899,400","$942,600"
7/24/2023,"3,458",52,"$691,600","$343,200"
7/25/2023,"4,737",71,"$947,400","$470,150"
7/26/2023,"5,446",82,"$1,089,200","$540,500"
7/27/2023,"6,895",103,"$1,379,000","$684,350"
7/28/2023,"7,614",114,"$1,522,800","$755,700"
7/29/2023,"10,467",157,"$2,093,400","$1,038,850"
7/30/2023,"9,746",146,"$1,949,200","$967,300"
7/31/2023,"3,397",51,"$679,400","$337,150"
8/1/2023,"4,109","2,055","$821,800","$308,150"
8/2/2023,"4,678","2,339","$935,600","$350,850"
8/3/2023,"5,758","2,879","$1,151,600","$431,850"
8/4/2023,"6,478","3,239","$1,295,600","$485,850"
8/5/2023,"8,896","4,448","$1,779,200","$667,200"
8/6/2023,"8,089","4,045","$1,617,800","$606,650"
8/7/2023,"2,905","1,453","$581,000","$217,850"
8/8/2023,"4,117","2,059","$823,400","$308,750"
8/9/2023,"4,645","2,323","$929,000","$348,350"
8/10/2023,"5,753","2,877","$1,150,600","$431,450"
8/11/2023,"6,341","3,171","$1,268,200","$475,550"
8/12/2023,"8,675","4,338","$1,735,000","$650,600"
8/13/2023,"8,113","4,057","$1,622,600","$608,450"
8/14/2023,"2,932","1,466","$586,400","$219,900"
8/15/2023,"4,201","2,101","$840,200","$315,050"
8/16/2023,"4,815","2,408","$963,000","$361,100"
8/17/2023,"5,915","2,958","$1,183,000","$443,600"
8/18/2023,"6,669","3,335","$1,333,800","$500,150"
8/19/2023,"8,953","4,477","$1,790,600","$671,450"
8/20/2023,"8,254","4,127","$1,650,800","$619,050"
8/21/2023,"2,985","1,493","$597,000","$223,850"
8/22/2023,"4,110","2,055","$822,000","$308,250"
8/23/2023,"4,791","2,396","$958,200","$359,300"
8/24/2023,"5,970","2,985","$1,194,000","$447,750"
8/25/2023,"6,599","3,300","$1,319,800","$494,900"
8/26/2023,"8,965","4,483","$1,793,000","$672,350"
8/27/2023,"8,555","4,278","$1,711,000","$641,600"
8/28/2023,"2,990","1,495","$598,000","$224,250"
8/29/2023,"4,222","2,111","$844,400","$316,650"
8/30/2023,"4,890","2,445","$978,000","$366,750"
8/31/2023,"6,042","3,021","$1,208,400","$453,150"
9/1/2023,"6,657",133,"$1,331,400","$659,050"
9/2/2023,"9,166",183,"$1,833,200","$907,450"
9/3/2023,"8,464",169,"$1,692,800","$837,950"
9/4/2023,"3,047",61,"$609,400","$301,650"
9/5/2023,"4,367",87,"$873,400","$432,350"
9/6/2023,"4,936",99,"$987,200","$488,650"
9/7/2023,"6,041",121,"$1,208,200","$598,050"
9/8/2023,"6,837",137,"$1,367,400","$676,850"
9/9/2023,"9,339",187,"$1,867,800","$924,550"
9/10/2023,"8,712",174,"$1,742,400","$862,500"
9/11/2023,"3,059",61,"$611,800","$302,850"
9/12/2023,"4,277",86,"$855,400","$423,400"
9/13/2023,"4,974",99,"$994,800","$492,450"
9/14/2023,"6,172",123,"$1,234,400","$611,050"
9/15/2023,"6,859",137,"$1,371,800","$679,050"
9/16/2023,"9,390",188,"$1,878,000","$929,600"
9/17/2023,"8,653",173,"$1,730,600","$856,650"
9/18/2023,"3,187",64,"$637,400","$315,500"
9/19/2023,"4,405",88,"$881,000","$436,100"
9/20/2023,"5,018",100,"$1,003,600","$496,800"
9/21/2023,"6,393",128,"$1,278,600","$632,900"
9/22/2023,"6,910",138,"$1,382,000","$684,100"
9/23/2023,"9,325",187,"$1,865,000","$923,150"
9/24/2023,"9,004",180,"$1,800,800","$891,400"
9/25/2023,"3,113",62,"$622,600","$308,200"
9/26/2023,"4,383",88,"$876,600","$433,900"
9/27/2023,"5,171",103,"$1,034,200","$511,950"
9/28/2023,"6,405",128,"$1,281,000","$634,100"
9/29/2023,"6,977",140,"$1,395,400","$690,700"
9/30/2023,"9,575",192,"$1,915,000","$947,900"
10/1/2023,"6,604",99,"$1,320,800","$655,450"
10/2/2023,"2,403",36,"$480,600","$238,500"
10/3/2023,"3,353",50,"$670,600","$332,800"
10/4/2023,"3,800",57,"$760,000","$377,150"
10/5/2023,"4,822",72,"$964,400","$478,600"
10/6/2023,"5,389",81,"$1,077,800","$534,850"
10/7/2023,"7,340",110,"$1,468,000","$728,500"
10/8/2023,"6,860",103,"$1,372,000","$680,850"
10/9/2023,"2,398",36,"$479,600","$238,000"
10/10/2023,"3,347",50,"$669,400","$332,200"
10/11/2023,"3,885",58,"$777,000","$385,600"
10/12/2023,"4,817",72,"$963,400","$478,100"
10/13/2023,"5,307",80,"$1,061,400","$526,700"
10/14/2023,"7,273",109,"$1,454,600","$721,850"
10/15/2023,"6,815",102,"$1,363,000","$676,400"
10/16/2023,"2,491",37,"$498,200","$247,250"
10/17/2023,"3,410",51,"$682,000","$338,450"
10/18/2023,"3,960",59,"$792,000","$393,050"
10/19/2023,"4,890",73,"$978,000","$485,350"
10/20/2023,"5,417",81,"$1,083,400","$537,650"
10/21/2023,"7,404",111,"$1,480,800","$734,850"
10/22/2023,"6,974",105,"$1,394,800","$692,150"
10/23/2023,"2,446",37,"$489,200","$242,750"
10/24/2023,"3,508",53,"$701,600","$348,150"
10/25/2023,"3,951",59,"$790,200","$392,150"
10/26/2023,"5,000",75,"$1,000,000","$496,250"
10/27/2023,"5,520",83,"$1,104,000","$547,850"
10/28/2023,"7,375",111,"$1,475,000","$731,950"
10/29/2023,"6,931",104,"$1,386,200","$687,900"
10/30/2023,"2,493",37,"$498,600","$247,450"
10/31/2023,"3,466",52,"$693,200","$344,000"
11/1/2023,"3,259",33,"$651,800","$324,250"
11/2/2023,"4,080",41,"$816,000","$405,950"
11/3/2023,"4,439",44,"$887,800","$441,700"
11/4/2023,"6,108",61,"$1,221,600","$607,750"
11/5/2023,"5,648",56,"$1,129,600","$562,000"
11/6/2023,"2,040",20,"$408,000","$203,000"
11/7/2023,"2,794",28,"$558,800","$278,000"
11/8/2023,"3,275",33,"$655,000","$325,850"
11/9/2023,"4,024",40,"$804,800","$400,400"
11/10/2023,"4,540",45,"$908,000","$451,750"
11/11/2023,"6,232",62,"$1,246,400","$620,100"
11/12/2023,"5,700",57,"$1,140,000","$567,150"
11/13/2023,"2,062",21,"$412,400","$205,150"
11/14/2023,"2,827",28,"$565,400","$281,300"
11/15/2023,"3,300",33,"$660,000","$328,350"
11/16/2023,"4,108",41,"$821,600","$408,750"
11/17/2023,"4,498",45,"$899,600","$447,550"
11/18/2023,"6,147",61,"$1,229,400","$611,650"
11/19/2023,"5,678",57,"$1,135,600","$564,950"
11/20/2023,"2,085",21,"$417,000","$207,450"
11/21/2023,"2,876",29,"$575,200","$286,150"
11/22/2023,"3,362",34,"$672,400","$334,500"
11/23/2023,"4,186",42,"$837,200","$416,500"
11/24/2023,"4,490",45,"$898,000","$446,750"
11/25/2023,"6,199",62,"$1,239,800","$616,800"
11/26/2023,"5,853",59,"$1,170,600","$582,350"
11/27/2023,"2,118",21,"$423,600","$210,750"
11/28/2023,"2,984",30,"$596,800","$296,900"
11/29/2023,"3,315",33,"$663,000","$329,850"
11/30/2023,"4,159",42,"$831,800","$413,800"
12/1/2023,"3,838",38,"$767,600","$381,900"
12/2/2023,"5,173",52,"$1,034,600","$514,700"
12/3/2023,"4,875",49,"$975,000","$485,050"
12/4/2023,"1,753",18,"$350,600","$174,400"
12/5/2023,"2,480",25,"$496,000","$246,750"
12/6/2023,"2,797",28,"$559,400","$278,300"
12/7/2023,"3,460",35,"$692,000","$344,250"
12/8/2023,"3,851",39,"$770,200","$383,150"
12/9/2023,"5,339",53,"$1,067,800","$531,250"
12/10/2023,"4,936",49,"$987,200","$491,150"
12/11/2023,"1,780",18,"$356,000","$177,100"
12/12/2023,"2,454",25,"$490,800","$244,150"
12/13/2023,"2,870",29,"$574,000","$285,550"
12/14/2023,"3,633",36,"$726,600","$361,500"
12/15/2023,"3,851",39,"$770,200","$383,150"
12/16/2023,"5,360",54,"$1,072,000","$533,300"
12/17/2023,"5,077",51,"$1,015,400","$505,150"
12/18/2023,"1,784",18,"$356,800","$177,500"
12/19/2023,"2,527",25,"$505,400","$251,450"
12/20/2023,"2,864",29,"$572,800","$284,950"
12/21/2023,"3,618",36,"$723,600","$360,000"
12/22/2023,"3,921",39,"$784,200","$390,150"
12/23/2023,"5,406",54,"$1,081,200","$537,900"
12/24/2023,"5,005",50,"$1,001,000","$498,000"
12/25/2023,"1,803",18,"$360,600","$179,400"
12/26/2023,"2,580",26,"$516,000","$256,700"
12/27/2023,"2,866",29,"$573,200","$285,150"
12/28/2023,"3,639",36,"$727,800","$362,100"
12/29/2023,"4,040",40,"$808,000","$402,000"
12/30/2023,"5,424",54,"$1,084,800","$539,700"
12/31/2023,"5,008",50,"$1,001,600","$498,300"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
