Order Date,SKU,Units Sold
2/6/2024,G,212
2/6/2024,H,20
2/7/2024,J,16
2/7/2024,B,353
2/7/2024,C,44
2/7/2024,D,476
2/7/2024,E,64
2/7/2024,F,161
2/7/2024,I,45
2/7/2024,G,157
2/8/2024,J,50
2/8/2024,B,350
2/8/2024,D,448
2/8/2024,E,114
2/8/2024,F,179
2/8/2024,I,55
2/8/2024,G,188
2/9/2024,J,58
2/9/2024,B,510
2/9/2024,D,570
2/9/2024,E,98
2/9/2024,F,253
2/9/2024,I,52
2/9/2024,G,114
2/10/2024,J,197
2/10/2024,B,610
2/10/2024,C,12
2/10/2024,D,635
2/10/2024,E,222
2/10/2024,F,213
2/10/2024,I,117
2/10/2024,G,209
2/11/2024,J,360
2/11/2024,B,700
2/11/2024,D,706
2/11/2024,E,297
2/11/2024,F,297
2/11/2024,I,107
2/11/2024,G,160
2/12/2024,J,168
2/12/2024,B,512
2/12/2024,D,579
2/12/2024,E,135
2/12/2024,F,361
2/12/2024,I,111
2/12/2024,G,302
2/12/2024,H,10
2/13/2024,J,179
2/13/2024,B,1
2/13/2024,D,529
2/13/2024,E,343
2/13/2024,F,248
2/13/2024,I,131
2/13/2024,G,323
2/14/2024,J,106
2/14/2024,A,4
2/14/2024,B,7
2/14/2024,D,493
2/14/2024,E,220
2/14/2024,F,219
2/14/2024,I,104
2/14/2024,G,144
2/15/2024,J,178
2/15/2024,B,19
2/15/2024,D,478
2/15/2024,E,183
2/15/2024,F,180
2/15/2024,G,145
2/16/2024,J,108
2/16/2024,C,45
2/16/2024,D,463
2/16/2024,E,297
2/16/2024,F,182
2/16/2024,I,38
2/16/2024,G,157
2/17/2024,J,103
2/17/2024,C,211
2/17/2024,D,606
2/17/2024,E,248
2/17/2024,F,334
2/17/2024,I,140
2/17/2024,G,190
2/18/2024,J,151
2/18/2024,C,285
2/18/2024,D,725
2/18/2024,E,291
2/18/2024,F,459
2/18/2024,I,192
2/18/2024,G,201
2/19/2024,J,196
2/19/2024,B,27
2/19/2024,C,241
2/19/2024,D,1090
2/19/2024,E,517
2/19/2024,F,342
2/19/2024,I,136
2/19/2024,G,278
2/20/2024,J,116
2/20/2024,A,5
2/20/2024,C,101
2/20/2024,D,718
2/20/2024,E,370
2/20/2024,F,306
2/20/2024,I,112
2/20/2024,G,160
2/20/2024,H,3
2/21/2024,J,159
2/21/2024,B,6
2/21/2024,C,123
2/21/2024,D,523
2/21/2024,E,391
2/21/2024,F,252
2/21/2024,I,116
2/21/2024,G,165
2/22/2024,J,94
2/22/2024,B,2
2/22/2024,C,148
2/22/2024,D,707
2/22/2024,E,447
2/22/2024,F,261
2/22/2024,I,49
2/22/2024,G,146
2/23/2024,J,133
2/23/2024,C,256
2/23/2024,D,655
2/23/2024,E,354
2/23/2024,F,260
2/23/2024,I,81
2/23/2024,G,183
2/24/2024,J,125
2/24/2024,C,138
2/24/2024,D,578
2/24/2024,E,423
2/24/2024,F,314
2/24/2024,I,114
2/24/2024,G,191
2/25/2024,J,226
2/25/2024,A,1
2/25/2024,C,397
2/25/2024,D,755
2/25/2024,E,768
2/25/2024,F,491
2/25/2024,I,224
2/25/2024,G,329
2/26/2024,J,179
2/26/2024,B,89
2/26/2024,C,192
2/26/2024,D,716
2/26/2024,E,854
2/26/2024,F,324
2/26/2024,I,90
2/26/2024,G,375
2/27/2024,J,178
2/27/2024,B,140
2/27/2024,C,258
2/27/2024,D,659
2/27/2024,E,551
2/27/2024,F,293
2/27/2024,I,217
2/27/2024,G,288
2/28/2024,J,115
2/28/2024,A,6
2/28/2024,B,68
2/28/2024,C,267
2/28/2024,D,594
2/28/2024,E,350
2/28/2024,F,327
2/28/2024,I,78
2/28/2024,G,322
2/29/2024,J,177
2/29/2024,B,68
2/29/2024,C,143
2/29/2024,D,521
2/29/2024,E,380
2/29/2024,F,18
2/29/2024,I,71
2/29/2024,G,188
3/1/2024,J,102
3/1/2024,B,92
3/1/2024,C,179
3/1/2024,D,591
3/1/2024,E,371
3/1/2024,F,8
3/1/2024,I,116
3/1/2024,G,267
3/2/2024,J,120
3/2/2024,B,113
3/2/2024,C,94
3/2/2024,D,715
3/2/2024,E,744
3/2/2024,F,6
3/2/2024,I,117
3/2/2024,G,275
3/2/2024,H,11
3/3/2024,J,133
3/3/2024,B,254
3/3/2024,C,277
3/3/2024,D,764
3/3/2024,E,510
3/3/2024,F,1
3/3/2024,I,84
3/3/2024,G,508
3/3/2024,H,60
3/4/2024,J,171
3/4/2024,B,204
3/4/2024,C,188
3/4/2024,D,863
3/4/2024,E,381
3/4/2024,F,6
3/4/2024,I,164
3/4/2024,G,253
3/5/2024,J,107
3/5/2024,B,106
3/5/2024,C,216
3/5/2024,D,821
3/5/2024,E,207
3/5/2024,F,17
3/5/2024,I,178
3/5/2024,G,295
3/5/2024,H,30
3/6/2024,J,143
3/6/2024,A,1120
3/6/2024,B,75
3/6/2024,C,162
3/6/2024,D,797
3/6/2024,E,295
3/6/2024,F,181
3/6/2024,I,114
3/6/2024,G,350
3/7/2024,J,65
3/7/2024,A,813
3/7/2024,B,82
3/7/2024,C,190
3/7/2024,D,727
3/7/2024,E,289
3/7/2024,F,213
3/7/2024,I,142
3/7/2024,G,276
3/7/2024,H,40
3/8/2024,J,73
3/8/2024,A,604
3/8/2024,B,124
3/8/2024,C,214
3/8/2024,D,817
3/8/2024,E,296
3/8/2024,F,282
3/8/2024,I,64
3/8/2024,G,239
3/8/2024,H,43
3/9/2024,J,31
3/9/2024,A,749
3/9/2024,B,155
3/9/2024,C,270
3/9/2024,D,841
3/9/2024,E,216
3/9/2024,F,360
3/9/2024,I,49
3/9/2024,G,183
3/9/2024,H,37
3/10/2024,J,31
3/10/2024,A,643
3/10/2024,B,55
3/10/2024,C,246
3/10/2024,D,848
3/10/2024,E,658
3/10/2024,F,280
3/10/2024,I,43
3/10/2024,G,150
3/10/2024,H,2
3/11/2024,J,6
3/11/2024,A,530
3/11/2024,B,89
3/11/2024,C,94
3/11/2024,D,776
3/11/2024,E,389
3/11/2024,F,210
3/11/2024,I,61
3/11/2024,G,212
3/11/2024,H,71
3/12/2024,J,23
3/12/2024,A,226
3/12/2024,B,155
3/12/2024,D,644
3/12/2024,E,391
3/12/2024,F,262
3/12/2024,I,66
3/12/2024,G,284
3/12/2024,H,117
3/13/2024,J,108
3/13/2024,A,23
3/13/2024,B,259
3/13/2024,C,73
3/13/2024,D,663
3/13/2024,E,552
3/13/2024,F,213
3/13/2024,I,168
3/13/2024,G,153
3/13/2024,H,74
3/14/2024,J,118
3/14/2024,A,56
3/14/2024,B,155
3/14/2024,C,205
3/14/2024,D,710
3/14/2024,E,408
3/14/2024,F,243
3/14/2024,I,146
3/14/2024,G,59
3/14/2024,H,72
3/15/2024,J,140
3/15/2024,A,23
3/15/2024,B,404
3/15/2024,C,57
3/15/2024,D,876
3/15/2024,E,958
3/15/2024,F,204
3/15/2024,I,167
3/15/2024,G,286
3/15/2024,H,60
3/16/2024,J,137
3/16/2024,A,47
3/16/2024,B,168
3/16/2024,C,199
3/16/2024,D,928
3/16/2024,E,463
3/16/2024,F,230
3/16/2024,I,209
3/16/2024,G,108
3/16/2024,H,66
3/17/2024,J,194
3/17/2024,A,28
3/17/2024,B,165
3/17/2024,C,191
3/17/2024,D,1407
3/17/2024,E,938
3/17/2024,F,228
3/17/2024,I,285
3/17/2024,G,149
3/17/2024,H,210
3/18/2024,J,105
3/18/2024,A,52
3/18/2024,B,117
3/18/2024,C,104
3/18/2024,D,1177
3/18/2024,E,343
3/18/2024,F,124
3/18/2024,I,154
3/18/2024,G,102
3/18/2024,H,63
3/19/2024,J,69
3/19/2024,A,26
3/19/2024,B,124
3/19/2024,C,100
3/19/2024,D,871
3/19/2024,E,435
3/19/2024,F,164
3/19/2024,I,133
3/19/2024,G,75
3/19/2024,H,52
3/20/2024,J,133
3/20/2024,A,26
3/20/2024,B,95
3/20/2024,C,98
3/20/2024,D,847
3/20/2024,E,150
3/20/2024,F,135
3/20/2024,I,181
3/20/2024,G,143
3/20/2024,H,504
3/21/2024,J,102
3/21/2024,A,293
3/21/2024,B,84
3/21/2024,C,78
3/21/2024,D,862
3/21/2024,F,154
3/21/2024,I,164
3/21/2024,G,104
3/21/2024,H,376
3/22/2024,J,129
3/22/2024,A,549
3/22/2024,B,53
3/22/2024,C,177
3/22/2024,D,963
3/22/2024,E,13
3/22/2024,F,185
3/22/2024,I,135
3/22/2024,G,70
3/22/2024,H,371
3/23/2024,J,181
3/23/2024,A,356
3/23/2024,B,44
3/23/2024,C,108
3/23/2024,D,1275
3/23/2024,E,10
3/23/2024,F,227
3/23/2024,I,255
3/23/2024,G,22
3/23/2024,H,409
3/24/2024,J,203
3/24/2024,A,308
3/24/2024,B,63
3/24/2024,C,241
3/24/2024,D,1310
3/24/2024,F,232
3/24/2024,I,330
3/24/2024,G,68
3/24/2024,H,641
3/25/2024,J,100
3/25/2024,A,454
3/25/2024,B,26
3/25/2024,C,84
3/25/2024,D,973
3/25/2024,E,1
3/25/2024,F,116
3/25/2024,I,196
3/25/2024,G,0
3/25/2024,H,494
3/26/2024,J,101
3/26/2024,A,31
3/26/2024,B,129
3/26/2024,C,56
3/26/2024,D,828
3/26/2024,E,1
3/26/2024,F,164
3/26/2024,I,137
3/26/2024,G,17
3/26/2024,H,502
3/27/2024,J,151
3/27/2024,A,33
3/27/2024,B,58
3/27/2024,C,93
3/27/2024,D,907
3/27/2024,E,29
3/27/2024,F,143
3/27/2024,I,134
3/27/2024,G,7
3/27/2024,H,291
3/28/2024,J,130
3/28/2024,A,21
3/28/2024,B,99
3/28/2024,C,142
3/28/2024,D,898
3/28/2024,E,2
3/28/2024,F,149
3/28/2024,I,136
3/28/2024,G,146
3/28/2024,H,465
3/29/2024,J,192
3/29/2024,A,33
3/29/2024,B,131
3/29/2024,C,87
3/29/2024,D,1036
3/29/2024,F,169
3/29/2024,I,256
3/29/2024,G,19
3/29/2024,H,460
3/30/2024,J,223
3/30/2024,A,294
3/30/2024,B,315
3/30/2024,C,177
3/30/2024,D,1295
3/30/2024,E,1
3/30/2024,F,441
3/30/2024,I,189
3/30/2024,G,108
3/30/2024,H,768
3/31/2024,J,191
3/31/2024,A,392
3/31/2024,B,218
3/31/2024,C,242
3/31/2024,D,1393
3/31/2024,F,618
3/31/2024,I,248
3/31/2024,G,35
3/31/2024,H,792
